Legajo,PUNTAJE PP,PUNTAJE SP
40984855,Ausente,Ausente
33046749,Ausente,Ausente
47711349,84.2,93.0
46035562,66.9,90.0
46885751,0.0,0.0
46845195,84.7,83.0
47906547,16.0,22.0
1724621899,2.5,6.0
32519626,Ausente,Ausente
42784938,Ausente,Ausente
46456557,44.5,40.5
95576112,Ausente,Ausente
47983153,68.5,55.0
47906101,Ausente,Ausente
48070051,35.0,22.0
43853952,Ausente,Ausente
47984878,80.5,74.0
47000382,19.5,6.0
47820060,Ausente,Ausente
46821387,69.0,26.0
46030658,Ausente,Ausente
47715716,3.5,5.0
47820733,48.8,27.0
46125529,67.5,32.5
46793987,11.5,Ausente
46125352,Ausente,Ausente
38003469,Ausente,Ausente
94877947,28.5,0.0
47985660,91.7,99.0
48500567,71.5,44.5
47820136,0.0,Ausente
45479740,86.5,81.5
200213396,Ausente,Ausente
94731113,25.5,11.0
44579769,Ausente,Ausente
44739421,Ausente,Ausente
46507375,Ausente,Ausente
34988769,Ausente,16.0
44827111,Ausente,Ausente
46469725,19.0,Ausente
39622625,Ausente,Ausente
47000519,4.0,1.0
44942929,Ausente,Ausente
47581774,41.6,29.0
45836051,81.0,96.0
33437867,Ausente,Ausente
40520362,Ausente,Ausente
44762040,73.5,96.0
47305935,Ausente,Ausente
42035686,Ausente,Ausente
47662092,Ausente,Ausente
37126753,Ausente,Ausente
48153606,94.0,87.0
46491088,Ausente,Ausente
47669755,Ausente,Ausente
46909491,82.0,94.0
43060863,76.0,96.0
47002151,7.0,9.0
45405154,Ausente,Ausente
46888530,76.0,94.0
48748766,14.0,15.5
48210784,Ausente,Ausente
48327597,Ausente,Ausente
4888239,Ausente,Ausente
44653269,22.0,Ausente
43926854,Ausente,Ausente
43926854,Ausente,Ausente
48073360,Ausente,Ausente
199951469,Ausente,Ausente
46972732,Ausente,Ausente
46972256,Ausente,Ausente
39934777,Ausente,Ausente
46972110,Ausente,Ausente
31115674,Ausente,Ausente
47321215,43.2,55.0
46587055,Ausente,Ausente
47982871,Ausente,40.0
47983890,9.4,Ausente
48599342,8.0,Ausente
48599342,Ausente,Ausente
48780423,Ausente,Ausente
48069961,Ausente,Ausente
40611885,48.0,32.0
46035484,Ausente,Ausente
46127036,14.0,9.0
48718949,Ausente,Ausente
39937662,Ausente,Ausente
43882093,Ausente,0.0
44672268,0.0,Ausente
48325768,21.0,Ausente
45561472,Ausente,Ausente
41001417,Ausente,8.0
41776222,Ausente,Ausente
40802654,82.0,88
47664504,Ausente,Ausente
47709025,Ausente,Ausente
42979619,88.0,84
47304891,91.0,78
47662292,62.0,92
47439347,Ausente,Ausente
20472501055,Ausente,Ausente
47284195,7.0,Ausente
42473784,Ausente,Ausente
39304882,71.0,65
48327255,90.0,87
42808592,Ausente,Ausente
47022915,23.0,Ausente
47938279,55.0,31
48601727,Ausente,Ausente
39073363,Ausente,Ausente
47173753,57.0,67
46221929,18.0,30
39446046,Ausente,Ausente
37411851,Ausente,Ausente
46307077,27.0,36
33450047,Ausente,Ausente
46450234,Ausente,Ausente
42969615,Ausente,Ausente
42801631,Ausente,Ausente
46373973,40.0,3.0
45499180,6.0,Ausente
41964152,Ausente,Ausente
48384910,19.0,5.0
43940269,Ausente,Ausente
198419306,Ausente,Ausente
46971356,Ausente,Ausente
96110027,Ausente,Ausente
46452340,Ausente,Ausente
19115022,Ausente,Ausente
42606518,Ausente,Ausente
47844732,Ausente,Ausente
44877587,Ausente,Ausente
30122634,Ausente,Ausente
45094135,Ausente,Ausente
48124878,Ausente,Ausente
43272937,Ausente,Ausente
47664657,Ausente,Ausente
47984937,Ausente,Ausente
47988518,Ausente,Ausente
22034363,62.5,76.0
47905386,Ausente,Ausente
47820648,Ausente,Ausente
45482810,Ausente,Ausente
48068481,Ausente,Ausente
47304981,Ausente,Ausente
43451760,Ausente,Ausente
46374912,Ausente,Ausente
44828893,87.0,81
47472266,83.0,87
43404379,13.0,43
47577636,61.5,75.0
41402340,27.0,29.0
44316860,38.5,40.0
47466288,61.0,6.0
45933263,3.0,6.0
48455787,4.5,Ausente
